"","Fips Code","State","Average Crime Rate","Policing Per Capita Spend","Political Affiliation(Binary)","Number of Protests","PctWhiteAsian","PctWhite","PopulationDensity","kills","AMI","percentbach","PopulationTotal","HFR","lkills","lprotests","ldensity","killsnorm","PPC","PoliticalAffiliation"
"1",1,"Alabama",471.127272727273,931,1,90,66.76,65.39,90.94048073,25,48479.7272727273,0.2642,4767100,0.528,3.2188758248682,4.49980967033027,4.51020523461557,5.24427849216505,931,1
"2",2,"Alaska",735.6,524,0,35,66,60.01,1.05457901,5,72053.3636363636,0.1705,701700,0.572,1.6094379124341,3.55534806148941,0.0531416446352947,7.12555223029785,524,0
"3",4,"Arizona",440.154545454545,367,1,60,57.41,54.15,62.26862005,64,54918.7272727273,0.227,7098000,0.36,4.15888308335967,4.0943445622221,4.13145760788724,9.01662440123979,367,1
"4",5,"Arkansas",518.2,327,0,46,73.7,72.14,54.95590365,15,44263.3181818182,0.1577,2922500,0.518,2.70805020110221,3.8286413964891,4.00653111183941,5.13259195893926,327,0
"5",6,"California",429.390909090909,239,0,716,51.08,36.35,236.0652433,214,64243.3181818182,0.1849,38642700,0.163,5.36597601502185,6.57368016696065,5.46410822148008,5.53791531130071,239,0
"6",8,"Colarado",342.109090909091,344,0,119,71,67.79,53.91088824,36,67772.6818181818,0.3075,5611800,0.379,3.58351893845611,4.77912349311153,3.98733246567732,6.41505399337111,344,0
"7",9,"Connecticut",236.918181818182,277,0,149,70.27,65.68,623.0019845,5,72948,0.3641,3453300,0.188,1.6094379124341,5.00394630594546,6.43454970417564,1.44789042365274,277,0
"8",10,"Delaware",493.781818181818,278,0,21,65.36,61.44,377.7822419,4,62345.1818181818,0.281,940300,NA,1.38629436111989,3.04452243772342,5.93431794999233,4.25396150164841,278,0
"9",11,"District of Columbia",1170.8,321,0,17,40.41,36.66,9872.058824,6,61958.8636363636,0.2153,671300,0.387,1.79175946922805,2.83321334405622,9.19746370479841,8.93788172203188,321,0
"10",12,"Florida",446.454545454545,455,1,301,55.7,52.97,319.2311202,70,51793.9090909091,0.1787,20992000,0.288,4.24849524204936,5.70711026474888,5.76591535518429,3.33460365853659,455,1
"11",13,"Georgia",366.645454545455,352,0,146,56.12,52.02,173.2267564,46,54752.2727272727,0.2798,10294000,0.377,3.8286413964891,4.98360662170834,5.1546014668761,4.46862249854284,352,0
"12",15,"Hawaii",259.2,489,1,34,59.79,20.43,122.8503476,9,68488.7727272727,0.214,1343000,0.091,2.19722457733622,3.52636052461616,4.81096692843001,6.70141474311243,489,1
"13",16,"Idaho",219.054545454545,526,1,32,82.88,81.64,20.95154902,8,54464.1818181818,0.2074,1750900,0.578,2.07944154167984,3.46573590279973,3.04221258253695,4.56907875949512,526,1
"14",17,"Illinois",410.5,278,0,289,66.48,60.85,213.4596125,20,60929.5454545455,0.1905,12362300,0.226,2.99573227355399,5.66642668811243,5.36344764615577,1.61782192634057,278,0
"15",18,"Indiana",366.172727272727,284,0,148,81,78.57,178.7973641,15,54803.6363636364,0.1985,6511800,0.424,2.70805020110221,4.99721227376411,5.18625312046072,2.30351055007832,284,0
"16",19,"Iowa",270.563636363636,383,1,105,87.65,85.31,54.38131964,7,58041.8181818182,0.2256,3060200,0.385,1.94591014905531,4.65396035015752,3.99602070591982,2.28743219397425,383,1
"17",20,"Kansas",387.018181818182,302,0,67,78.56,75.72,34.16709205,10,55148.4090909091,0.2139,2811200,0.423,2.30258509299405,4.20469261939097,3.53126296007675,3.55719977233921,302,0
"18",21,"Kentucky",222.545454545455,321,0,115,86.1,84.47,106.8921996,21,47948.6818181818,0.1678,4319300,0.525,3.04452243772342,4.74493212836325,4.6718208462386,4.86189891880629,321,0
"19",22,"Louisiana",538.636363636364,448,1,66,60.47,58.77,85.88720455,29,46031.9090909091,0.1586,4498600,0.523,3.36729582998647,4.18965474202643,4.45303486038621,6.44645000666874,448,1
"20",23,"Maine",121.027272727273,328,0,52,94.29,93.18,36.8089316,8,53461.9545454545,0.1611,1302300,0.477,2.07944154167984,3.95124371858143,3.60574052224816,6.14297780849267,328,0
"21",24,"Maryland",478.618181818182,253,0,113,56.29,49.94,473.6014832,18,75123.2727272727,0.4018,5875500,0.167,2.89037175789616,4.72738781871234,6.16036621532165,3.06356905795251,253,0
"22",25,"Massachusetts",385.363636363636,370,1,182,77.21,70.47,630.1686564,9,68229.0909090909,0.2126,6650800,0.09,2.19722457733622,5.2040066870768,6.44598749212946,1.35322066518314,370,1
"23",26,"Michigan",447.781818181818,440,0,249,78.15,74.92,100.9740058,15,57836.8181818182,0.2308,9765600,0.389,2.70805020110221,5.51745289646471,4.61486311539952,1.53600393217007,440,0
"24",27,"Minnesota",230.990909090909,334,0,99,84.03,79.09,63.4351707,14,68752.6363636364,0.3281,5514800,0.391,2.63905732961526,4.59511985013459,4.15001845053243,2.53862334082832,334,0
"25",28,"Mississippi",269.672727272727,229,0,40,57.58,56.59,59.19846383,20,42493.2272727273,0.3151,2867100,0.541,2.99573227355399,3.68887945411394,4.08089559273572,6.9756897213212,229,0
"26",29,"Missouri",478.972727272727,553,1,143,81.44,79.38,85.212389,22,56002.2272727273,0.2366,5939900,0.528,3.09104245335832,4.96284463025991,4.44514683406227,3.70376605666762,553,1
"27",30,"Monatana",332,268,0,37,86.89,86.13,7.06882481,7,48414.7272727273,0.2198,1039400,0.65,1.94591014905531,3.61091791264422,1.955694244027,6.73465460842794,268,0
"28",31,"Nebraska",270.172727272727,350,1,60,80.92,78.51,24.22299219,4,58458.8636363636,0.1822,1873600,0.392,1.38629436111989,4.0943445622221,3.1873022726082,2.13492741246798,350,1
"29",32,"Nevada",597.963636363636,237,0,33,56.32,47.82,27.40024599,19,58304.2727272727,0.3296,3029700,0.329,2.94443897916644,3.49650756146648,3.31055199109095,6.27124797834769,237,0
"30",33,"New Hampshire",188.072727272727,337,0,39,92.43,89.78,140.5497914,4,73500.0454545455,0.3585,1314000,0.463,1.38629436111989,3.66356164612965,4.9455618131821,3.0441400304414,337,0
"31",34,"New Jersey",254.890909090909,274,1,141,64.08,54.47,997.2945088,16,72459.7727272727,0.2145,8699400,0.089,2.77258872223978,4.94875989037817,6.90504612132628,1.83920730165299,274,1
"32",35,"New Mexico",689.1,307,1,57,38.35,36.74,16.78920964,20,47957.3636363636,0.2739,2041400,0.359,2.99573227355399,4.04305126783455,2.82073639672358,9.79719800137161,307,1
"33",36,"New York",376.745454545455,339,0,367,63.77,55.17,346.5915132,15,57447.5909090909,0.2252,18908300,0.145,2.70805020110221,5.90536184805457,5.84814689111906,0.793302412168201,339,0
"34",37,"North Carolina",356.345454545455,348,0,196,65.58,62.68,188.4037236,19,50692.6818181818,0.1741,10139700,0.371,2.94443897916644,5.27811465923052,5.23858712627816,1.87382269692397,348,0
"35",38,"North Dakota",261,282,1,17,85.5,84.08,10.33975501,6,55060.5,0.2273,731000,0.533,1.79175946922805,2.83321334405622,2.33599617537599,8.20793433652531,282,1
"36",39,"Ohio",295.454545454545,299,0,249,80.86,78.56,253.2347298,35,55075.6363636364,0.1933,11351500,0.419,3.55534806148941,5.51745289646471,5.53431684437108,3.08329295687795,299,0
"37",40,"Oklahoma",450.772727272727,359,1,54,67.08,65.02,54.74899498,29,49810.8181818182,0.2359,3826900,0.549,3.36729582998647,3.98898404656427,4.00275901199845,7.5779351433275,359,1
"38",41,"Oregon",265.354545454545,264,0,181,79.67,75.02,41.96932272,16,58008.1818181818,0.269,4128900,0.414,2.77258872223978,5.19849703126583,3.73693893997441,3.87512412506963,264,0
"39",42,"Pennsylvania",325.518181818182,273,0,272,79.49,75.96,268.7627568,29,58110,0.214,12377600,0.402,3.36729582998647,5.605802066296,5.59382904547813,2.34294208893485,273,0
"40",44,"Rhode Island",236.018181818182,291,0,23,73.87,70.52,658.3171521,2,60582.9090909091,0.2021,1017100,0.139,0.693147180559945,3.13549421592915,6.48968680927643,1.96637498771016,291,0
"41",45,"South Carolina",522.281818181818,271,0,81,65.43,63.74,155.6589631,12,49886.3636363636,0.1809,4984200,0.45,2.484906649788,4.39444915467244,5.04766748019594,2.40760804141086,271,0
"42",46,"South Dakota",382.963636363636,470,1,17,83.23,81.93,11.03921365,4,53892.5,0.1662,851300,0.55,1.38629436111989,2.83321334405622,2.40145381095709,4.69869611182897,470,1
"43",47,"Tennessee",618.227272727273,391,0,127,75.37,73.55,157.5764047,26,48569.0909090909,0.2184,6640900,0.469,3.25809653802148,4.84418708645859,5.05991044984461,3.9151319851225,391,0
"44",48,"Texas",418.145454545454,184,0,288,46.12,41.14,105.3113226,101,54997.4090909091,0.3964,28286200,0.355,4.61512051684126,5.66296048013595,4.65692094042484,3.57064575658802,184,0
"45",49,"Utah",224.681818181818,302,1,42,80.06,77.75,37.1520784,12,66388.4090909091,0.2519,3154100,0.397,2.484906649788,3.73766961828337,3.61501971576304,3.80457182714562,302,1
"46",50,"Vermont",145.954545454545,407,1,45,94.43,92.81,62.1984193,6,60138.1363636364,0.2605,598100,0.503,1.79175946922805,3.80666248977032,4.13032958623893,10.0317672629995,407,1
"47",51,"Virginia",202.227272727273,254,1,182,68.04,61.3,191.3524255,21,68442.2727272727,0.2571,8185100,0.353,3.04452243772342,5.2040066870768,5.25411688751649,2.56563756093389,254,1
"48",53,"Washington",298.454545454545,340,1,240,76.45,67.53,104.1249404,29,65918.8181818182,0.1976,7423900,0.321,3.36729582998647,5.48063892334199,4.64559152809789,3.90630261722275,340,1
"49",54,"West Virginia",318.272727272727,349,1,37,93.34,92.52,71.7705324,11,44206.0909090909,0.2264,1739000,0.6,2.39789527279837,3.61091791264422,4.27347397955575,6.32547441058079,349,1
"50",55,"Wisconsin",286.554545454545,354,0,187,84.05,81.07,86.67857579,13,60173.2727272727,0.252,5677100,0.471,2.56494935746154,5.23110861685459,4.46220674586866,2.28990153423403,354,0
"51",56,"Wyoming",214.481818181818,244,1,38,84.41,83.81,5.752814043,4,58217.2272727273,0.566,562700,0.607,1.38629436111989,3.63758615972639,1.74968913387534,7.10858361471477,244,1
